Year,State_UT,Acetic_Anhydride_Kg,ATS_Kg,Anthralic_Acid_Kg,Cocaine_Kg,Codeine_Kg,Codeine_Litre,CBCS_Litre,Ephedrine_Kg,Fentanyl_HCL_Kg,Ganja_Kg,Hashish_Kg,Hashish_Oil_Kg,Heroin_Kg,Ketamine_Kg,Khat_Leaves_Kg,LSD_Blots,LSD_Kg,MDMA_Kg,Mephedrone_Kg,Mescaline_Kg,Mandrax_Kg,Morphine_Kg,Morphine_Litre,Opium_Kg,Phensidyl_No,Poppy_Husk_Straw_Kg,Injection_No,CBCS_Bottle,Tablets_Kg,Tablets_No,Total_Cases,Total_Arrested,Is_Total_Row,Total_Kg,Total_Litre,Total_Units,Border_State,Coastal_State,Arrest_Rate,Drug_Diversity,Total_Quantity,Growth_Rate,Risk_Index
2018,Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,59.0,False,64.0,0.0,0.0,0,0,1.2040816326530612,2,64.0,0.0,0.00044967426863653446
2019,Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,0.0,10931.0,133.0,166.0,False,115.0,0.0,11608.0,0,0,1.2481203007518797,3,11723.0,182.171875,0.01561856943106746
2020,Andaman and Nicobar Islands,0.0,66.39,0.0,0.0,0.02,0.0,0.0,0.0,0.0,95.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,825.0,58.0,96.0,False,161.85,0.0,921.0,0,0,1.6551724137931034,6,1082.85,-0.9076302994114135,0.05768592016076622
2021,Andaman and Nicobar Islands,0.0,32.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,52.0,False,58.55,0.0,0.0,0,0,1.793103448275862,3,58.55,-0.9459297224915731,0.014539995889850091
2022,Andaman and Nicobar Islands,0.0,19.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,375.0,52.0,74.0,False,59.46,0.0,401.0,0,0,1.4230769230769231,4,460.46,6.864389410760034,0.02905253789503483
2023,Andaman and Nicobar Islands,0.0,244.87,0.0,1.1,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,0.0,630.0,77.0,103.0,False,333.97,0.0,1127.0,0,0,1.3376623376623376,5,1460.97,2.172848890240195,0.04358783307481277
2024,Andaman and Nicobar Islands,0.0,6027.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,62.0,1.0,0.02,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.0,74.0,120.0,False,6112.410000000001,0.0,1730.0,0,0,1.6216216216216217,9,7842.410000000001,4.367947322669186,0.10073567914715525
2018,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38471.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,0.0,0.0,0.0,0.0,547.0,1319.0,False,38479.44,0.0,0.0,0,1,2.411334552102377,4,38479.44,0.0,0.034092092944479936
2019,Andhra Pradesh,0.0,0.0,0.0,1.04,0.0,0.0,0.0,1.01,0.0,70230.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.92,658.0,811.0,2040.0,False,70722.98,0.0,658.0,0,1,2.5154130702836004,9,71380.98,0.8550420692193024,0.1082762716419172
2020,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97826.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,946.0,2388.0,False,97830.76,0.0,0.0,0,1,2.52431289640592,5,97830.76,0.37054380592701297,0.05259425666598749
2021,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,200984.0,18.14,6.13,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,200.0,1776.0,4204.0,False,201023.07,0.0,203.0,0,1,2.3671171171171173,8,201226.07,1.0568793496033355,0.10411461921142046
2022,Andhra Pradesh,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99580.0,0.01,20.88,0.69,0.0,0.0,0.0,0.08,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1405.0,3350.0,False,99602.37,0.0,0.0,0,1,2.3843416370106763,11,99602.37,-0.505022535101938,0.1428016523681654
2023,Andhra Pradesh,0.0,0.6,0.0,5.0,0.0,0.0,0.0,0.0,0.0,53814.0,0.0,9.83,0.87,0.0,0.0,0.0,0.0,0.12,0.03,0.0,0.0,0.02,0.0,1.0,0.0,0.0,525.0,0.0,3.85,0.0,1749.0,5359.0,False,53835.32,0.0,525.0,0,1,3.064036592338479,12,54360.32,-0.4542266413941757,0.1602044889190643
2024,Andhra Pradesh,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53983.0,0.0,200.4,0.0,0.0,0.0,0.0,0.0,75.09,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.01,240.0,1869.0,4692.0,False,54302.5,0.0,240.0,0,1,2.510433386837881,8,54542.5,0.003351341566789845,0.1042347910575335
2018,Arunachal Pradesh,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1937.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,0.0,0.0,0.0,0.0,0.0,1217.0,154.0,259.0,False,1946.33,0.0,1217.0,1,0,1.6818181818181819,6,3163.33,0.0,0.058634844727586684
2019,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.68,0.0,0.0,0.0,0.0,0.0,742.0,137.0,216.0,False,1782.5600000000002,0.0,742.0,1,0,1.5766423357664234,5,2524.5600000000004,-0.20192961214922234,0.04417963886511377
2020,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2843.0,0.02,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.01,0.0,0.0,0.0,0.0,0.0,10.0,114.0,231.0,False,2863.86,0.0,10.0,1,0,2.026315789473684,6,2873.86,0.13836074405044818,0.05824256238309886
2021,Arunachal Pradesh,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2623.0,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.48,0.0,0.0,0.0,0.0,0.0,0.0,258.0,462.0,False,2643.29,0.0,0.0,1,0,1.7906976744186047,5,2643.29,-0.08023007383797409,0.045362225336388715
2022,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3342.0,0.0,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.91,0.0,1.0,15.0,0.0,0.41,2500.0,299.0,541.0,False,3365.97,0.0,2515.0,1,0,1.8093645484949832,8,5880.969999999999,1.224867494675196,0.08863726219128662
2023,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.0,0.0,0.0,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.95,0.0,0.0,0.0,0.0,0.01,12.0,215.0,389.0,False,1671.03,0.0,12.0,1,0,1.8093023255813954,6,1683.03,-0.7138176185221146,0.05922274798923868
2024,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2518.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,385.0,False,2631.65,0.0,0.0,1,0,1.7342342342342343,4,2631.65,0.5636382001509184,0.030724794422178313
2018,Assam,0.0,0.12,0.0,0.35,0.0,0.0,0.0,0.0,0.0,12209.0,0.0,0.0,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.53,0.0,16.32,0.0,0.0,0.0,127376.0,19.3,3097275.0,491.0,727.0,False,12259.94,0.0,3224651.0,1,0,1.4806517311608962,9,3236910.94,0.0,0.12216180730484667
2019,Assam,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9965.0,0.0,0.0,25.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.35,0.0,28.98,0.0,1260.0,0.0,58015.0,58.94,1550628.0,847.0,1267.0,False,11362.66,0.0,1608643.0,1,0,1.4958677685950412,10,1620005.66,-0.4995210896967094,0.1312358471166533
